State,District,Latitude,Longitude,District code,Population,Hindus,Muslims,Others_Religions,ST,SC,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Sex_ratio,Literate_Ratio,Working_Ratio,Age_Below_50,Age_Above_50
Bihar,Samastipur,25.793205563909765,85.94833323308269,221,4261566,3800598,452370,112,1884,803128,46123,88021,5379,911.01,50.28,31.52,86.36,13.35
Bihar,Saran,25.89656077844312,84.82266287425155,219,3951862,3534772,406449,107,36786,474066,51822,94787,4509,953.64,54.59,26.32,85.1,14.81
Bihar,Sheikhpura,25.12472436548223,85.77839390862943,228,636342,596102,37653,31,617,131115,6803,20065,631,929.81,51.65,35.3,86.49,13.36
Bihar,Sheohar,26.458380748663107,85.29539411764709,205,656246,552492,99342,44,318,96655,3983,10004,478,892.98,43.23,32.97,85.51,14.23
Bihar,Sitamarhi,26.56570069686413,85.61172491289203,206,3423574,2672311,740101,20,2989,405714,39465,66263,3460,898.56,41.97,32.56,86.06,13.12
Bihar,Siwan,26.1736372013652,84.33766552901022,218,3330464,2712635,608282,86,87000,386685,42384,52935,3834,988.23,57.96,28.0,84.94,14.96
Bihar,Supaul,26.28157893772896,86.78496465201461,208,2229076,1809936,409251,42,10168,354249,12111,51028,1845,929.46,46.35,39.37,87.41,12.45
Bihar,Vaishali,25.8134703180212,85.39247597173153,220,3495021,3152346,333980,71,2274,738031,47300,70001,4810,894.8,55.13,30.34,84.0,13.91
Chandigarh,Chandigarh,30.7426,76.75872465753424,55,1055450,852574,51447,246,0,199086,168344,231204,44283,817.66,76.31,38.29,85.86,14.11
Chhattisgarh,Bastar,19.393866751269048,81.52895126903546,414,1413199,1277975,12413,86925,931780,37963,22075,157646,1782,1023.23,46.06,51.41,86.5,13.41
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,30,381956,371973,6984,7,10693,98989,17262,79146,1574,981.47,75.3,53.9,78.81,21.07
Chhattisgarh,Bilaspur,22.356942982456143,81.99770350877188,406,2663629,2540763,57973,29122,498469,552992,77727,519704,8566,970.76,59.94,45.17,85.62,14.27
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,30,381956,371973,6984,7,10693,98989,17262,79146,1574,981.47,75.3,53.9,78.81,21.07
Himachal Pradesh,Bilaspur,31.3780422907489,76.65316079295157,406,2663629,2540763,57973,29122,498469,552992,77727,519704,8566,970.76,59.94,45.17,85.62,14.27
Chhattisgarh,Dhamtari,20.554912627291245,81.7569195519348,412,799781,777188,10425,3685,207633,58581,14568,148926,1016,1010.02,68.37,50.38,84.29,15.68
Chhattisgarh,Durg,21.194463849287164,81.33181639511197,409,3343872,3129745,83499,42569,397416,458040,129193,614109,16141,987.91,68.88,44.76,84.28,15.66
Chhattisgarh,Jashpur,22.77286167664669,83.8703962075848,402,851669,629509,15336,14835,530378,48844,6628,76783,567,1005.12,58.17,57.22,82.59,17.39
Chhattisgarh,Korba,22.491712499999995,82.57604326923074,404,1206640,1133176,30195,15649,493559,124679,43357,202380,4544,968.69,62.05,43.19,86.12,13.84
Chhattisgarh,Koriya,23.50412776859501,82.12515636363635,400,658917,604259,25878,15474,304280,54776,25605,80023,1667,968.46,60.38,46.6,85.69,14.28
Chhattisgarh,Mahasamund,21.223727037773354,82.65925427435384,411,1032754,1008061,12570,1417,279896,139581,13200,212487,961,1017.23,61.77,48.34,82.75,17.22
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,403,1493984,1422986,17332,1782,505609,224942,27771,297308,3342,991.24,63.7,46.2,83.01,16.97
Chhattisgarh,Raigarh,22.008265068493166,83.27797698630134,520,2634200,2239370,227465,1159,305125,134952,328277,547206,38570,959.47,73.65,40.73,82.09,17.57
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,403,1493984,1422986,17332,1782,505609,224942,27771,297308,3342,991.24,63.7,46.2,83.01,16.97
Maharashtra,Raigarh,18.453257637845976,73.0090609418579,520,2634200,2239370,227465,1159,305125,134952,328277,547206,38570,959.47,73.65,40.73,82.09,17.57
Chhattisgarh,Raipur,20.88603153846152,82.20032759615388,410,4063872,3881485,103038,10680,476446,724250,166505,728556,20261,984.13,64.71,43.25,85.94,13.78
Chhattisgarh,Surguja,23.32719278728607,83.23582493887531,401,2359886,2126195,81442,48295,1300628,115652,29433,253131,2737,977.9,50.34,48.98,84.89,15.05
Daman and Diu,Daman,20.431616666666677,72.8392366071429,495,191173,171537,16087,79,15240,4262,25844,49249,1316,533.57,78.64,55.2,91.78,8.07
Daman and Diu,Junagadh,20.72568199498111,70.83985639899612,479,2743082,2397056,334858,77,55571,265793,144561,498326,6628,953.27,67.18,40.97,83.01,16.83
Gujarat,Junagadh,20.929523011609785,70.54733890140345,479,2743082,2397056,334858,77,55571,265793,144561,498326,6628,953.27,67.18,40.97,83.01,16.83
Goa,North Goa,15.548723418714054,73.80667997909038,585,818008,622213,57941,166,56606,17606,132612,173951,23440,963.17,81.06,40.06,78.42,21.4
Goa,South Goa,15.195278658183785,73.941792596877,586,640537,341664,63623,92,92669,7843,102191,138810,17624,986.39,78.44,38.97,79.52,20.39
Gujarat,Ahmadabad,22.605425564971743,72.23898135593227,474,7214225,6042416,883238,2055,89138,759483,965017,1456046,126341,904.47,75.35,35.97,83.12,16.61
Gujarat,Amreli,21.04832649310872,71.43457637825426,480,1514190,1410463,99105,40,7322,132915,80378,273331,2538,963.81,65.74,43.4,80.98,18.65
Gujarat,Anand,22.282718206229863,72.57782051557454,482,2092745,1798794,250919,142,24824,104465,147122,378310,9902,924.85,74.13,40.37,82.19,17.51
Gujarat,Banas Kantha,24.258538965517253,71.93205252873561,469,3120506,2890305,213505,83,284155,327460,84832,396873,3424,937.75,54.64,40.01,87.27,12.65
Gujarat,Bharuch,21.75787276237761,72.67326346710801,488,1551019,1188204,343511,342,488194,62235,121542,309091,10257,925.04,72.1,40.43,82.97,16.42
Gujarat,Bhavnagar,21.70219390341736,72.16272632761141,481,2880365,2632574,212863,127,9110,157034,171327,500757,7297,932.87,65.52,39.95,84.34,15.45
Gujarat,Gandhinagar,23.193679790026252,72.67221679790026,473,1391753,1319586,57273,82,18204,108608,132683,262539,12107,922.67,74.04,38.44,83.43,16.16
Gujarat,Jamnagar,22.410600414263328,69.62062005768233,477,2160119,1810443,320805,136,24187,173895,142974,386538,11573,938.73,64.65,39.23,83.19,16.59
Gujarat,Kachchh,23.48057203301311,68.82192301497916,468,2092371,1608921,442355,98,24228,258859,140067,403294,9631,907.81,59.85,37.1,86.15,13.67
Gujarat,Kheda,22.88765312500002,73.018803515625,483,2299885,2000884,264482,82,40336,115631,99982,372226,5710,939.64,72.19,40.61,82.13,16.9
Gujarat,Mahesana,23.529355452865065,72.45545194085031,471,2035064,1885732,136431,88,9392,162288,180985,385609,7759,926.2,73.84,39.9,82.25,17.57
Gujarat,Narmada,21.70666386292833,73.68403208722742,487,590297,559848,22600,2078,481392,8733,12997,101940,576,960.56,62.74,49.94,83.81,15.83
Gujarat,Navsari,20.866973318871995,72.86184869848157,490,1329672,1225087,78669,2823,639659,35464,114620,267679,6726,960.69,75.35,44.51,79.97,19.48
Gujarat,Panch Mahals,22.80435606837605,73.61984598290586,484,2390776,2220974,158513,131,721604,100446,59096,398937,3456,948.53,60.27,45.91,84.57,15.2
Gujarat,Patan,23.80634198473284,71.75162977099237,470,1343734,1194745,142797,66,13303,123408,66310,223424,2231,935.11,62.36,41.29,83.93,15.89
Gujarat,Porbandar,21.55092351651571,69.71896987722886,478,585449,549749,33565,38,13039,51830,41686,117040,1653,950.14,67.24,39.49,81.76,18.04
Gujarat,Rajkot,22.40603377715488,70.83679439383323,476,3804558,3397406,361388,269,24017,290169,362140,747352,21785,926.9,71.63,38.88,82.36,17.34
Gujarat,Sabar Kantha,23.71803594548552,73.13638790459964,472,2428589,2260560,148563,52,542156,187685,99037,438606,5262,951.88,65.01,44.67,83.34,16.51
